Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020],2023 [YR2023]
Fiji,FJI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,519649205.972981,530125262.748025,680569041.225776,819747577.519129,970193385.833282,819285988.063504,..
Fiji,FJI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,761412657.027733,763037190.480488,1365238036.08891,1558501744.57616,1879449636.80449,1479333712.01752,..
Finland,FIN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,39785143630.0369,45051988704.2153,70041740216.6996,74850418582.1066,58806695990.1068,67416386738.4933,90617951560.877
Finland,FIN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,27337748454.2178,31330736652.768,55269288280.2925,65009454165.2235,56697785382.0991,63995332757.429,80428318516.2381
France,FRA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,270595648089.988,293575962151.954,439682814150.177,507694913963.362,515810730687.988,498103633176.653,679670463459.828
France,FRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,259192459649.416,292717395729.507,458877283943.667,571216367943.959,542664094923.771,556717028350.037,762008361070.801
French Polynesia,PYF,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,204014362.221507,153547729.471484,127546657.616745,..,..
French Polynesia,PYF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,1592935567.8299,1732150277.38388,1498869340.06173,..,..
Gabon,GAB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2726790127.69061,3316005160.26656,5456881214.66911,8857671179.80203,5112624089.88177,..,..
Gabon,GAB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,880892290.115997,798060301.172577,1358849837.1501,3125800173.57762,3171354403.39476,..,..
"Gambia, The",GMB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,122116267.94365,..,104324892.12762,139924084.966761,107519931.788622,70055726.8388251,286583174.478823
"Gambia, The",GMB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,161416309.078418,..,222607885.094773,245762740.742773,334386543.861928,581815543.283709,1226937393.10343
Georgia,GEO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,478268156.8,1413899872.71,2393250864.69,3021038528.5,4346525927.47,8119084893.87
Georgia,GEO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,1013301784.05,2631405482.56,5021340414.73,6972980228.37,7511521844.33,14196889584.99
Germany,DEU,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,484122019159.306,501929316698.023,878773288690.847,1138008679193.07,1176501548439.86,1213282444118.39,1517223235979.04
Germany,DEU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,415917960314.333,443332114445.355,688153163413.517,926733952704.903,904611684678.664,1009462854525.01,1267368577874.4
Ghana,GHA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1431200000,1936321433.4,2802195812.49545,7960080000,10321186611.031,14471527062.7428,16703024132.1929
Ghana,GHA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1687800000,2766555192.42862,5347309680.5847,10922100000,13465053155.5226,12428560843.604,14008508080.9147
Gibraltar,GIB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Gibraltar,GIB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Greece,GRC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,5918000000,10120149406.5,17461520086.5922,22244488075.1191,27518376686.1592,33035804104.2281,54087129338.8759
Greece,GRC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,20343000000,30320946978.7653,51680258912.8385,59785809474.8529,47121117239.8802,54171105482.6332,89800044200.2536
Greenland,GRL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Greenland,GRL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Grenada,GRD,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,24570370.3703704,82959259.2592593,32865137.037037,31126358.5185185,43712080.9367407,28554717.4521101,111199037.037037
Grenada,GRD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,129777777.777778,220940740.740741,299962962.962963,285573046.666667,307073173.57037,345804479.614815,707147210.740741
Guam,GUM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Guam,GUM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991000000,2713000000,5459500000,7195611440,9084883040,10126634020,13022851060
Guatemala,GTM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3032600000,4742000000,9650100000,11878178960,15524036340,16440813870,27381983410
Guinea,GIN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,582750000,667477322.879769,842810000,1471210000,1781147781,8931210000,11864660000
Guinea,GIN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,621730000,585850895.353908,739500000,1398490000,2191754718.70711,3727440000,5081420000
Guinea-Bissau,GNB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,23900000,..,89618682.4582105,126600766.843605,252246891.92875,213798110.161763,..
Guinea-Bissau,GNB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,59340000,..,105928482.617288,196571190.667041,206932626.450323,307279709.051086,..
