Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Malaysia,MYS,CO2 emissions (kt),EN.ATM.CO2E.KT,56592.811,68591.235,75298.178,91722.671,94010.879,121132.011,125374.73,124821.013,114186.713,107934.478,125734.096,135620.328,133742.824,158256.719,163826.892,174486.861,167702.911,184816.8,204031.88,198876.078,218476.193,220405.035,218707.214,236510.499,242821.406,..
Maldives,MDV,CO2 emissions (kt),EN.ATM.CO2E.KT,172.349,154.014,231.021,198.018,198.018,249.356,289.693,330.03,300.694,421.705,451.041,462.042,594.054,506.046,667.394,601.388,759.069,781.071,843.41,883.747,935.085,986.423,1111.101,1092.766,1334.788,..
Mali,MLI,CO2 emissions (kt),EN.ATM.CO2E.KT,421.705,436.373,443.707,454.708,462.042,469.376,487.711,524.381,762.736,795.739,821.408,828.742,847.077,843.41,876.413,898.415,942.419,1008.425,1070.764,806.74,964.421,1045.095,993.757,1026.76,1411.795,..
Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2159.863,2057.187,2024.184,2651.241,2420.22,2123.193,2240.537,2519.229,2145.195,2346.88,2064.521,2486.226,2299.209,2581.568,2574.234,2698.912,2574.234,2724.581,2559.566,2398.218,2559.566,2541.231,2680.577,2339.546,2346.88,..
Marshall Islands,MHL,CO2 emissions (kt),EN.ATM.CO2E.KT,47.671,51.338,55.005,62.339,66.006,66.006,66.006,66.006,69.673,66.006,77.007,80.674,84.341,84.341,88.008,84.341,91.675,99.009,99.009,102.676,102.676,102.676,102.676,102.676,102.676,..
Mauritania,MRT,CO2 emissions (kt),EN.ATM.CO2E.KT,905.749,920.417,968.088,982.756,1144.104,1074.431,1114.768,1118.435,1122.102,1147.771,1173.44,1272.449,1349.456,1389.793,1536.473,1587.811,1609.813,1844.501,1936.176,2123.193,2236.87,2394.551,2654.908,2669.576,2709.913,..
Mauritius,MUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1463.133,1521.805,1708.822,1774.828,1624.481,1829.833,1950.844,1998.515,2170.864,2427.554,2691.578,2863.927,2885.929,3061.945,3091.281,3296.633,3630.33,3689.002,3769.676,3711.004,3916.356,3920.023,3967.694,4070.37,4228.051,..
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,318427.612,331958.842,334698.091,339468.858,352780.068,332816.92,346417.823,369769.279,389087.035,391591.596,398382.88,412977.54,414389.335,440208.682,441308.782,466361.726,479251.231,480520.013,493251.837,475950.931,464308.206,484429.035,496324.783,490340.239,480270.657,..
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,99.009,99.009,102.676,106.343,106.343,110.01,117.344,110.01,124.678,168.682,143.013,143.013,143.013,121.011,121.011,139.346,117.344,161.348,113.677,121.011,135.679,143.013,150.347,..
Middle East & North Africa,MEA,CO2 emissions (kt),EN.ATM.CO2E.KT,913726.731981263,999941.83247408,1062834.13975185,1158095.16790561,1211915.86970668,1186766.28331436,1187235.82051655,1153542.858,1267747.906,1353489.7,1473033.9,1496924.405,1515868.127,1615889.219,1747453.845,1833500,1941947.858,1928295.617,2086820.027,2184057.866,2271079.443,2297742.2,2468881.09,2445353.618,2593273.8930243,..
